name,mp-or-peer,department,portfolio,constituency,party,start-date,end-date,Notes,source-description,source-date,source-link
Alan Duncan MP,mp,Foreign and Commonwealth Office,Minister of State for Europe and the Americas,Rutland and Melton,Conservative,2016-07-15,present,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html
Alan Duncan MP,mp,Foreign and Commonwealth Office,Minister of State for International Development,Rutland and Melton,Conservative,2014-07-14,2010-05-13,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html
David Mundell MP,mp,Office of the Secretary of State for Scotland,Secretary of State for Scotland,"Dumfriesshire, Clydesdale and Tweeddale",Conservative,2015-05-11,present,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html
David Mundell MP,mp,Office of the Secretary of State for Scotland,Parliamentary Under-Secretary of Secretary of State for Scotland,"Dumfriesshire, Clydesdale and Tweeddale",Conservative,2010-05-11,2015-05-11,Promoted to Secretary of State for Scotland on 2015-05-11,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html
Iain Stewart MP,mp,Whips,Assistant Government Whip,Milton Keynes South,Conservative,2018-09-01,present,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html
Justine Greening MP,mp,Department for Education,"Secretary of State for Education, Minister for Women and Equalities","Putney, Roehampton and Southfields",Conservative,2016-07-14,2018-01-08,Resigned on 2018-01-08,The Independent,2016-02-20,http://www.independent.co.uk/news/people/who-is-justine-greening-equalities-minister-theresa-may-cabinet-latest-appointments-lgbt-same-sex-a7136586.html
Justine Greening MP,mp,Department for International Development,Secretary of State for International Development,"Putney, Roehampton and Southfields",Conservative,2012-09-04,2016-07-14,Promoted to Secretary of State for Education on 2016-07-14,The Independent,2016-02-20,http://www.independent.co.uk/news/people/who-is-justine-greening-equalities-minister-theresa-may-cabinet-latest-appointments-lgbt-same-sex-a7136586.html
Margot James MP,mp,"Department for Digital, Culture, Media and Sport",Minister for Digital and the Creative Industries,Stourbridge,Conservative,2018-01-09,present,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html
Margot James MP,mp,"Department for Business, Energy and Industrial Strategy","Parliamentary Under-Secretary of State for Small Business, Consumers and Corporate Responsibility",Stourbridge,Conservative,2016-07-17,2018-01-09,Promoted to Minister for Digital and the Creative Industries on 2018-01-09,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html
Mike Freer MP,mp,Whips,"Government Whip, Lord Commissioner of HM Treasury",North East Derbyshire,Conservative,2018-07-26,present,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/
Mike Freer MP,mp,Whips,Assistant Government Whip,North East Derbyshire,Conservative,2017-06-15,2018-07-26,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/
Mike Freer MP,mp,Department for Transport,Parliamentary Private Secretary to the Secretary of State for Transport,North East Derbyshire,Conservative,2015-05-07,2017-06-15,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/
Nick Gibb MP,mp,Department for Education,Minister of State for School Standards,Bognor Regis and Littlehampton,Conservative,2015-05-12,present,,The Independent,2016-02-20,http://www.independent.co.uk/news/people/news/schools-minister-nick-gibb-to-marry-his-secret-partner-after-29-years-together-10301900.html
Nick Gibb MP,mp,Department for Education,"Parliamentary Under-Secretary of State for Childcare, Education and School Reform",Bognor Regis and Littlehampton,Conservative,2014-05-15,2015-05-12,,The Independent,2016-02-20,http://www.independent.co.uk/news/people/news/schools-minister-nick-gibb-to-marry-his-secret-partner-after-29-years-together-10301900.html
Stuart Andrew MP,mp,Ministry of Defence,"Parliamentary Under Secretary of State, Minister for Defence Procurement",Pudsey,Conservative,2018-07-19,present,,Yorkshire Post,2013-05-22,http://www.yorkshirepost.co.uk/news/leeds-mp-beaten-unconscious-in-homophobic-attack-hits-out-at-tory-gay-marriage-rebels-1-5694767
Stuart Andrew MP,mp,"Office of the Secretary of State for Wales, Whips","Parliamentary Under Secretary of State for Wales, Assistant Government Whip",Pudsey,Conservative,2018-01-09,2018-07-19,,Yorkshire Post,2013-05-22,http://www.yorkshirepost.co.uk/news/leeds-mp-beaten-unconscious-in-homophobic-attack-hits-out-at-tory-gay-marriage-rebels-1-5694767
Baroness Deborah Stedman-Scott,peer,Whips,Baroness in Waiting (Government Whip),House of Lords,Conservative,2017-10-27,Present,,LGBT Daily Spotlight,2019-06-15,https://lgbtdailyspotlight.com/november-23rd-2016-people/
Lord Ian Duncan,peer,"Office of the Secretary of State for Scotland, Northern Ireland","Parliamentary Under Secretary of State for Scotland, Parliamentary Under Secretary of State for Northern Ireland",Springbank,Conservative,2017-10-27,present,,Wikipedia,2019-06-15,"https://en.wikipedia.org/wiki/Ian_Duncan,_Baron_Duncan_of_Springbank"
Lord Ian Duncan,peer,"Office of the Secretary of State for Scotland, Office of the Secretary of State for Wales","Parliamentary Under Secretary of State for Scotland, Parliamentary Under Secretary of State for Wales",Springbank,Conservative,2017-06-17,2017-10-27,"Additionally appointed as PUSS Northern Ireland, continues to be PUSS Scotland, no longer PUSS Wales",Wikipedia,2019-06-15,"https://en.wikipedia.org/wiki/Ian_Duncan,_Baron_Duncan_of_Springbank"
Lord Ian Duncan,peer,Office of the Secretary of State for Scotland,Parliamentary Under Secretary of State for Scotland,Springbank,Conservative,2017-06-15,2017-06-17,"Additionally appointed to Wales Office, whilst maintaining current position",Wikipedia,2019-06-15,"https://en.wikipedia.org/wiki/Ian_Duncan,_Baron_Duncan_of_Springbank"
